Groupe de couches,Index de la couche,Nom de la couche,Nombre d'objets
1db1d26a-1ce6-47a6-b861-2f331c69d2e6,83,A4,0
3d3ada9f-57af-4842-9a98-2803a5afdd96,84,EXISTANT,0
c3ba6300-b7f7-4bcf-b511-f8cff2cbad7b,85,A4.E.03,6
c3ba6300-b7f7-4bcf-b511-f8cff2cbad7b,86,A4.E.01,4
3d3ada9f-57af-4842-9a98-2803a5afdd96,87,CONSTRUCTION,0
376dcf00-8254-49f3-8944-d2355044361a,88,A4.C.08,5
376dcf00-8254-49f3-8944-d2355044361a,89,A4.C.06,5
376dcf00-8254-49f3-8944-d2355044361a,90,A4.C.05,5
376dcf00-8254-49f3-8944-d2355044361a,91,A4.C.04,5
376dcf00-8254-49f3-8944-d2355044361a,92,A4.C.03,5
376dcf00-8254-49f3-8944-d2355044361a,93,A4.C.02,4
376dcf00-8254-49f3-8944-d2355044361a,94,A4.C.01,5
947f0691-2e93-47d5-922a-aae0a48be4d1,95,SECTEUR B,0
e3388f37-ea87-4af4-8c86-64ef2da77df0,96,B4,0
e424f761-c586-41db-b1b9-2e6e3f20af33,97,EXISTANT,0
58f4d796-d64e-4618-988a-e4dbb0da9a04,98,B4.E.01,2
e424f761-c586-41db-b1b9-2e6e3f20af33,99,CONSTRUCTION,0
51dcf9ca-8d07-4a87-9024-9417f8c164d1,100,B4.C.03,7
51dcf9ca-8d07-4a87-9024-9417f8c164d1,101,B4.C.02,7
e3388f37-ea87-4af4-8c86-64ef2da77df0,102,B3,0
61c9aa9c-6865-4f2e-ac8e-bd6aebfa8a12,103,CONSTRUCTION,0
29ecf511-c958-48b2-8f39-7ae2d0383946,104,B3.C.18,2
29ecf511-c958-48b2-8f39-7ae2d0383946,105,B3.C.17,1
29ecf511-c958-48b2-8f39-7ae2d0383946,106,B3.C.15,4
29ecf511-c958-48b2-8f39-7ae2d0383946,107,B3.C.14,7
29ecf511-c958-48b2-8f39-7ae2d0383946,108,B3.C.12,7
29ecf511-c958-48b2-8f39-7ae2d0383946,109,B3.C.10,10
29ecf511-c958-48b2-8f39-7ae2d0383946,110,B3.C.09,6
29ecf511-c958-48b2-8f39-7ae2d0383946,111,B3.C.08,8
29ecf511-c958-48b2-8f39-7ae2d0383946,112,B3.C.07,5
29ecf511-c958-48b2-8f39-7ae2d0383946,113,B3.C.06,12
29ecf511-c958-48b2-8f39-7ae2d0383946,114,B3.C.02,4
29ecf511-c958-48b2-8f39-7ae2d0383946,115,B3.C.01,12
e3388f37-ea87-4af4-8c86-64ef2da77df0,116,B2,0
1eee6f78-d8b2-4fde-81af-2a3b8e00bb7b,117,CONSTRUCTION,0
b92885a3-c88c-40b0-8a1d-6dec24aaf7f4,118,B2.C.12,9
b92885a3-c88c-40b0-8a1d-6dec24aaf7f4,119,B2.C.11,10
b92885a3-c88c-40b0-8a1d-6dec24aaf7f4,120,B2.C.10,4
b92885a3-c88c-40b0-8a1d-6dec24aaf7f4,121,B2.C.09,5
b92885a3-c88c-40b0-8a1d-6dec24aaf7f4,122,B2.C.08,10
b92885a3-c88c-40b0-8a1d-6dec24aaf7f4,123,B2.C.05,10
b92885a3-c88c-40b0-8a1d-6dec24aaf7f4,124,B2.C.04,12
e3388f37-ea87-4af4-8c86-64ef2da77df0,125,B1,0
270f9f36-bc18-4355-8557-36b1676cf81a,126,CONSTRUCTION,0
ec1afa97-2809-4967-9d2a-d855ff93a63f,127,B1.C.08,6
ec1afa97-2809-4967-9d2a-d855ff93a63f,128,B1.C.07,2
ec1afa97-2809-4967-9d2a-d855ff93a63f,129,B1.C.06,4
ec1afa97-2809-4967-9d2a-d855ff93a63f,130,B1.C.05,3
ec1afa97-2809-4967-9d2a-d855ff93a63f,131,B1.C.04,3
ec1afa97-2809-4967-9d2a-d855ff93a63f,132,B1.C.03,3
ec1afa97-2809-4967-9d2a-d855ff93a63f,133,B1.C.02,2
ec1afa97-2809-4967-9d2a-d855ff93a63f,134,B1.C.01,2
947f0691-2e93-47d5-922a-aae0a48be4d1,135,SECTEUR C,0
1aca9020-ac70-4b5b-a647-fd9b25afba91,136,C3,0
beb9431e-35cd-43af-a437-c7ef2fe98a5e,137,EXISTANT,0
3d84021c-409e-47a3-8d7e-cfec7b730464,138,C3.E.02,9
3d84021c-409e-47a3-8d7e-cfec7b730464,139,C3.E.01,5
